1	1	2	1
2	1	9	0
3	10	11	1
4	12	13	1
5	17	4	1
6	3	18	1
7	19	21	1
8	22	20	1
9	24	20	1	
10	25	26	1
11	31	32	1
12	31	37	1
13	31	42	1
14	44	45	1
15	46	47	1
16	48	49	0
17	53	54	1
18	60	59	1
19	61	62	1
20	63	64	1
21	65	66	0
22	68	69	1
23	22	70	1
24	22	71	1
25	73	72	1
26	75	74	1
27	78	77	1
28	79	80	0
29	79	82	0
30	86	87	1
31	89	90	1
32	91	92	1
33	94	95	1
34	50	96	1
35	52	96	1
36	99	98	1
37	101	100	1
38	105	106	1
39	109	110	1
40	113	111	1
41	114	115	1
42	122	123	0
43	122	124	0
44	122	125	0
45	122	126	0
46	122	131	0
47	136	137	1
48	138	49	1
49	138	139	0
50	138	141	0
51	138	143	0
52	138	145	0
53	138	147	0
54	138	149	0
55	138	151	0
56	153	154	1
57	156	96	1
58	157	158	1
59	159	160	1
60	161	162	1
61	163	164	1
62	165	121	1
63	174	175	1
64	179	178	1
65	182	174	1
66	180	181	1
67	184	185	1
68	184	187	1
69	188	189	1
70	191	190	1
71	193	192	1
72	195	194	1
73	197	196	1
74	198	199	1
75	205	206	1
76	208	207	1
77	209	210	1
78	211	213	1
